"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4>Podrazumevani šablon</h4>
<p>Koristi <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja šablonski jezik</a> i sva polja adrese (uključujući prilagođena polja ukoliko postoje) će biti dostupna</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Telefon: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Faks: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Imejl: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>",
"<h4>Email Reply Example</h4>

<pre>Order Overdue

Transaction {{ name }} has exceeded Due Date. Please take necessary action.

Details

- Customer: {{ customer }}
- Amount: {{ grand_total }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>
","<h4>Imejl odgovor primer</h4>

<pre>Rok za plaćanje narudžbine je istekao

Transakcija {{ name }} je premašila datum dospeća. Molimo Vas da preduzmete odgovarajuće radnje.

Detalji

- Kupac: {{ customer }}
- Iznos: {{ grand_total }}
</pre>

<h4>Kako dobiti nazive polja</h4>

<p>Polja koja možete koristiti u svom imejl šablonu su polja u dokumentu iz kojeg šaljete imejl. Polja bilo kojeg dokumenta možete pronaći putem postavki &gt; Prilagodi prikaz obrasca i odabirom vrste dokumenta (npr. Izlazna faktura)</p>

<h4>Šablonizacija</h4>

<p>Šabloni se kompajliraju koristeći Jinja jezik za šablone. Da biste saznali više o Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">pročitajte ovu dokumentaciju.</a></p>
",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">ili</h5>",
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>","<h5>Primer poruke</h5>

<pre>&lt;h3&gt;Rok za plaćanje narudžbine je istekao&lt;/h3&gt;

&lt;p&gt;Transakcija {{ doc.name }} je premašila datum dospeća. Molimo Vas da preduzmete odgovarajuće radnje.&lt;/p&gt;

&lt;!-- prikaži poslednji komentar--&gt;
{% if comments %}
Poslednji komentar: {{ comments[-1].comment }} od {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Detalji&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Kupac: {{ doc.customer }}
&lt;li&gt;Iznos: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","<p><strong>Primeri uslova:</strong></p>
<pre>doc.status==""Otvoren""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
","<p><strong>Primeri uslova:</strong></p>
<pre>doc.status==""Otvoren""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
",
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","<p>Više veb-obrazaca može biti kreirano za jedan doctype. Dodajte filtere specifične za ovaj veb-obrazac kako biste prikazali odgovarajući zapis nakon slanja.</p><p>Na primer:</p>
<p>Ukoliko kreirate poseban veb-obrazac svake godine za prikupljanje povratnih informacija od zaposlenih lica dodajte 
 polje nazvano godina u doctype-u i dodajte filter <b>godina = 2023</b></p>
",
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","<p>Postavite kontekst pre nego što se prikaže šablon. Primer:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Projekat"", frappe.form_dict.name)
</code></pre></div>",
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","<p>Za interakciju sa gore navedenim HTML-om neophodno je da koristite `root_element` kao matični selektor</p><p>Na primer:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// ovde je root_element podrazumevano dodeljen
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""Novi sadržaj"";
</code></pre>",
"<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ day of week (0 - 6) (0 is Sunday)
│  │  │  └───── month (1 - 12)
│  │  └────────── day of month (1 - 31)
│  └─────────────── hour (0 - 23)
└──────────────────── minute (0 - 59)

---

* - Any value
/ - Step values
</pre>
","<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ dan u nedelji (0 - 6) (0 je nedelja)
│  │  │  └───── mesec (1 - 12)
│  │  └────────── dan u mesecu (1 - 31)
│  └─────────────── čas (0 - 23)
└──────────────────── minut (0 - 59)

---

* - Bilo koja vrednost
/ - Vrednost u koracima
</pre>
",
"<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>
<p>Allowed functions:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Uslovi treba da budu napisani u jednostavnom python-u. Koristite samo svojstva dostupna u obrascu.</p>
<p>Dozvoljene funkcije:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Primer: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>",
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Lista resursa kojima će klijentska aplikacija imati pristup nakon što korisnik to dozvoli.<br> npr. projekat,
A symbol for this currency. For e.g. $,Simbol za ovu valutu. Na primer $,
A0,A0,
A1,A1,
A2,A2,
A3,A3,
A4,A4,
A5,A5,
A6,A6,
A7,А7,
A8,A8,
A9,A9,
ALL,SVE,
API,API,
API Access,API pristup,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,API Ključ,
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,API ključ i tajna za interakciju sa relay serverom. Ovi podaci će biti automatski generisani kada prvo obaveštenje bude poslato sa bilo koje aplikacije instalirane na ovom sajtu.,
API Key cannot be regenerated,API ključ se ne može ponovo generisati,
API Logging,Zapisivanje API zahteva,
API Method,API metoda,
API Request Log,Evidencija API zahteva,
API Secret,API tajna,
ASC,RASTUĆE,
About,O,
About Us Settings,O nama Podešavanje,
About Us Team Member,Član tima O nama,
Access Control,Kontrola pristupa,
Access Log,Evidencija pristupa,
Access Token,Pristupni token,
Access Token URL,URL pristupnog tokena,
Account,Račun,
Account Deletion Settings,Podešavanje za brisanje naloga,
Accounts Manager,Account Manager,
Accounts User,Knjigovođa,
Action,Radnja,
Action / Route,Radnja / Putanja,
Action Label,Oznaka radnje,
Action Timeout (Seconds),Istek radnje (sekunde),
Action Type,Vrsta radnje,
Actions,Radnje,
Activate,Aktiviraj,
Active,Aktivan,
Active Directory,Aktivan direktorijum,
Active Domains,Aktivni domeni,
Active Sessions,Aktivne sesije,
Activity Log,Dnevnik aktivnosti,
Add Background Image,Dodaj pozadinsku sliku,
Add Border at Bottom,Dodaj ivicu na dnu,
Add Border at Top,Dodaj ivicu na vrhu,
Add Container,Dodaj kontenjer,
Add Custom Tags,Dodaj prilagođene oznake,
Add Gray Background,Dodaj sivu pozadinu,
Add Query Parameters,Dodaj parametre upita,
Add Signature,Dodaj potpis,
Add Space at Bottom,Dodaj prostor na dnu,
Add Space at Top,Dodaj prostor na vrhu,
Add Total Row,Dodaj red sa ukupnim iznosom,
Add Translate Data,Dodaj podatke za prevođenje,
Add Unsubscribe Link,Dodaj link za odjavu sa pretplate,
Add Video Conferencing,Dodaj video-konferenciju,
Added,Dodato,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Dodat HTML u odeljak &lt;head&gt; veb-stranice, prvenstveno za verifikaciju veb-sajta i SEO",
Additional Permissions,Dodatne dozvole,
Address,Adresa,
Address And Contacts,Adresa i kontakti,
Address Line 1,"Adresa, red 1",
Address Line 2,"Adresa, red 2",
Address Template,Šablon adrese,
Address Title,Naslov adrese,
Address Type,Vrsta adrese,
Address and other legal information you may want to put in the footer.,Adresa i druge pravne informacije koje želite da stavite u podnožje.,
Addresses And Contacts,Adrese i kontakti,
Adds a custom client script to a DocType,Dodaje prilagođenu klijentsku skriptu u DocType,
Adds a custom field to a DocType,Dodaje prilagođeno polje u DocType,
Administrator,Administrator,
Advanced,Napredno,
Advanced Control,Napredna kontrola,
Advanced Settings,Napredne postavke,
After Cancel,Nakon otkazivanja,
After Delete,Nakon brisanja,
After Discard,Nakon odbacivanja,
After Insert,Nakon unosa,
After Rename,Nakon preimenovanja,
After Save,Nakon čuvanja,
After Save (Submitted Document),Nakon čuvanja (podneti dokument),
After Submission,Nakon podnošenja,
After Submit,Nakon podnošenja,
Aggregate Function Based On,Agregatna funkcija zasnovana na,
Alert,Upozorenje,
Align,Poravnaj,
Align Labels to the Right,Poravnaj oznake udesno,
Align Right,Poravnaj udesno,
All,Sve,
All Day,Svi dani,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Sva moguća stanja radnog toka i uloge u radnom toku. Opcija statusa dokumenta: 0 je ""Sačuvano"", 1 je ""Podneto"" i 2 je ""Otkazano""",
Allocated To,Dodeljeno,
Allow,Dozvoli,
Allow Auto Repeat,Dozvoli automatsko ponavljanje,
Allow Bulk Edit,Dozvoli masovno uređivanje,
Allow Bulk Editing,Dozvoli masovno uređivanje,
Allow Consecutive Login Attempts ,Dozvoli uzastopne pokušaje prijavljivanja ,
Allow Guest,Dozvoli gosta,
Allow Guest to View,Dozvoli gostu da pregleda,
Allow Guest to comment,Dozvoli gostu da komentariše,
Allow Guests to Upload Files,Dozvoli gostu da otpremi fajlove,
Allow Import (via Data Import Tool),Dozvoli uvoz (putem alata za uvoz podataka),
Allow Login After Fail,Dozvoli prijavljivanje nakon neuspeha,
Allow Login using Mobile Number,Dozvoli prijavljivanje pomoću mobilnog telefona,
Allow Login using User Name,Dozvoli prijavljivanje pomoću korisničkog imena,
Allow Modules,Dozvoli module,
Allow Older Web View Links (Insecure),Dozvoli starije linkove za veb-prikaz (nesigurno),
Allow Print for Cancelled,Dozvoli štampu za otkazane,
Allow Print for Draft,Dozvoli štampu za nacrt,
Allow Read On All Link Options,Dozvoli čitanje svih opcija za linkove,
Allow Rename,Dozvoli preimenovanje,
Allow Roles,Dozvoli uloge,
Allow Self Approval,Dozvoli samododeljivanje odobrenja,
Allow Sending Usage Data for Improving Applications,Dozvoli slanje podataka o upotrebi za poboljšanje aplikacije,
Allow approval for creator of the document,Dozvoli odobrenje za autora dokumenta,
Allow comments,Dozvoli komentare,
Allow delete,Dozvoli brisanje,
Allow document creation via Email,Dozvoli kreiranje dokumenta pomoću imejla,
Allow editing after submit,Dozvoli uređivanje nakon podnošenja,
"Allow editing even if the doctype has a workflow set up.

Does nothing if a workflow isn't set up.","Dozvoli uređivanje iako je postavljen radni tok.

Ne vrši se nikakva radnju ukoliko radni tok nije postavljen.",
Allow events in timeline,Dozvoli događaje u vremenskom redosledu,
Allow in Quick Entry,Dozvoli u brzom unosu,
Allow incomplete forms,Dozvoli nepotpune obrasce,
Allow multiple responses,Dozvoli višestruke odgovore,
Allow on Submit,Dozvoli prilikom podnošenja,
Allow only one session per user,Dozvoli samo jednu sesiju po korisniku,
Allow page break inside tables,Dozvoli prelom stranice unutar tabele,
Allow print,Dozvoli štampu,
Allow saving if mandatory fields are not filled,Dozvoli čuvanje ukoliko obavezna polja nisu popunjena,
Allow user to login only after this hour (0-24),Dozvoli korisniku da se prijavi tek nakon ovog časa (0-24),
Allow user to login only before this hour (0-24),Dozvoli korisniku da se prijavi samo pre ovog časa (0-24),
"Allow users to log in without a password, using a login link sent to their email","Dozvoli korisnicima da se prijave bez lozinke, koristeći link za prijavu poslatu na njihov imejl",
Allowed,Dozvoljeno,
Allowed File Extensions,Dozvoljene ekstenzije fajlova,
Allowed In Mentions,Dozvoljeno u pominjanima,
Allowed Modules,Dozvoljeni moduli,
Allowed Roles,Dozvoljene uloge,
Allowed embedding domains,Dozvoljeni umetni domeni,
Alternative Email ID,Alternativni imejl ID,
Always BCC Address,Uvek BCC adresa,
"Always add ""Draft"" Heading for printing draft documents","Uvek dodaj ""Nacrt"" naslov za štampanje nacrta dokumenata",
Always use this email address as sender address,Uvek koristi ovu imejl adresu kao adresu pošiljaoca,
Always use this name as sender name,Uvek koristi ovaj naziv kao naziv pošiljaoca,
Amend,Izmeni,
Amend Counter,Brojač izmena,
Amended Document Naming Settings,Podešavanja za imenovanje izmenjenih dokumenata,
Amended Documents,Izmenjeni dokumenti,
Amended From,Izmenjeno iz,
Amendment Naming Override,Zanemari pravila imenovanja izmena,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikonica sa ekstenzijom .ico. Trebalo bi da bude razmere 16 x 16 px. Generisano pomoću favicon generatora. [favicon-generator.org],
Analytics,Analitika,
Announcement Widget,Podešavanje za vidžet najava,
Announcements,Najave,
Annual,Godišnji,
Anonymization Matrix,Matrica anonimnosti,
Anonymous responses,Anonimni odgovori,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Za štampače se mogu koristiti svi jezici zasnovani na tekstu. Pisanje sirovih komandi zahteva poznavanje osnovnog jezika štampača koji obezbeđuje proizvođač. Za detalje o pisanju tih komandi, molimo Vas da se konsultujete sa razvojnim priručnikom koji je obezbedio proizvođač štampača. Ove komande se obrađuju na serverskoj strani koristeći Jinja šablonski jezik.",
App,Aplikacija,
App ID,ID aplikacije,
App Logo,Logo aplikacije,
App Name,Naziv aplikacije,
App Name (Client Name),Naziv aplikacije (naziv klijenta),
Append Emails to Sent Folder,Dodaj imejl u datoteku poslate,
Append To,Dodaj u,
"Append as communication against this DocType (must have fields: ""Sender"" and ""Subject""). These fields can be defined in the email settings section of the appended doctype.","Dodaj kao komunikaciju protiv ovog DocType (mora sadržati polja: ""Pošiljalac"" i ""Naslov""). Ova polja se mogu definisati u odeljku podešavanje imejla kod dodatog doctype-a.",
Applicable For,Primenjivo za,
Application Logo,Logo aplikacije,
Application Name,Naziv aplikacije,
Application Version,Verzija aplikacije,
Applied On,Primenjeno na,
